text,score,neg_score,neu_score,pos_score,label
"I do 60 miles a day 5 days a week and obviously use it to anywhere outside of work because it’s so cheap to run, I also charge at work for free. In my old Kia Soul EV I had a 20k a year contract and was going to burn past the 60k over 3 years until the pandemic last March and lockdown saved me so much in excess mileage charges. My new car is an MG MG5 on 25k a year over 4 years and that’s £338 a month with no initial lease. It’s quoted range is 213 miles but with motorway driving at 70mph I am fine if this is reduced to 180 as that is still plenty to get to the mother in law’s and back without charging. Now my life story is over, I looked at all those cars and with the government grant reducing to £2.5k in March, the prices all went up and the price sky rockets on a lease over 15-20k miles a year. The quoted prices on all the websites is usually 8k miles a year, I could not find a Kona, ID3 or my preferred eNiro for the price of the MG. If you have £2k initial rental to put down then it might be affordable but that initial cost and a monthly of £350 will cost a lot over 3-4 years. The effective monthly would be about £400 over the course of the lease. I wanted a bigger boot hence why I looked at the eNiro/Kona, and settled on the MG5 because it’s an estate. The roof rails on the Exclusive are decorative only, despite initial MG pictures from the company themselves showing roof boxes and bike racks on the bars, since airbrushed out - so I don’t know what ownership is going to be like at this point. You probably got your Leaf at a similar time to my Soul, back in 2017/18 when there were huge discounts from the only 2 electric cars around. Those discounts are gone so my monthly on the Soul was £250 for 20k a year, unbelievable price for that mileage. Mechanically absolutely nothing went wrong with the car apart from the 12v battery had to be replaced. That was a reliable Kia though, again no idea what the MG will be like, but with so few moving parts I don’t bother with a maintenance contract as that adds such a premium to the monthly price. There was only one spec on the Soul so it was a superbly equipped car and it might be worth stretching your budget for the extras that now cost extra. Best wishes with whatever you choose though!",1,0.04727348,0.5694517,0.3832748,neutral
"Are you giving it back because you don't want to make the final payment? I was in the same position with my 2018 40kWh Leaf, but had £5k equity in the car based on part ex value compared to final payment. I used this as a deposit on an ID.3, with the supplying VW dealer paying off the finance and using the remainder as my deposit. Don't know if this would apply to you but you may have this option.",1,0.24425201,0.7224943,0.033253644,neutral
"Ask yourself if you need it to be app controlled at the charger side. We have a PodPoint at work, which I'm in control of - the benefit is the control of the point, in limiting who can use it, and tracking energy usage. Other than that, there is no need for it to be controlled. The bigger issue for your situation is going to be ensuring that it's your electric that the charger comes from - in an apartment block, it's going to require quite the cabling...",1,0.057953537,0.7601312,0.1819153,neutral
Do you have permission from your freeholder to mount and install the Pod Point on the exterior of the apartment building? If not you find it removed without warning and disposed of!,1,0.55687934,0.42817524,0.014945434,negative
Charging from a 3-pin plug is very slow. Most only draw around 2.5kW. Even a 7kW home charger may take 5-6 hrs to charge up depending on size of battery. Suggest you focus on using rapid charging to make using a car viable proposition in the absence of home charging.,1,0.6330288,0.33703414,0.029937083,negative
"Also, get yourself a copy of Zap Map to assist with finding charge points when out on the local road. And in terms of battery remaining, you only really start to panic when dash says you have 2 miles remaining. Laugh out loud.",1,0.17498551,0.56638813,0.25862634,neutral
"In the UK (230V, 13amps) a household standard three pin plug will charge at about 10 miles an hour. if you charge 20 hours a day you'll get 200 miles worth of electricity into the car. Also just for interest, each hour's charging will cost roughly 40p. At 4p per mile, you're not saving a lot over a decent diesel car ( which costs around 11p per mile, so you'll save 7p per mile). Currently not enough of a difference to pay for the extra cost of the electric car :-(",1,0.13849689,0.7915646,0.06993855,neutral
That charging port design is so deeply flawed it staggers me could go into production like that,1,0.9454767,0.048503842,0.0060194917,negative
"Build quality of the Polestar reportedly better than Model 3, but 3 is much faster. 3s are available now, Polestars have very long lead time. Tech of the 3 supposed to be superior.",1,0.05200516,0.39656228,0.55143255,positive
"I wouldn't bother. Good modern chargers accept debit/credit cards contactless. I know you're just excited and keen, but honestly, it will be more hassle downloading all the apps and signing up to all the schemes. [https://electroverse.octopus.energy/](https://electroverse.octopus.energy/) if you must. Zap-map for finding chargers.",1,0.29407543,0.5135066,0.192418,neutral
"If you want to use Tesla chargers you will need to download the Tesla app and register. Not all Tesla chargers can be used with non-Tesla cars, usually those at Tesla dealerships and there is one near Reading. Most other EV chargers now have contactless payment so you can just use your card, particularly GridServe at motorway services.",1,0.054020453,0.8698297,0.07614994,neutral
"It will be expensive and complicated to feed the garage from your home. See if you can get neighbours interested in sharing the costs of a new utility connection in the car park, it may take a while, but sharing the cost of work between just a few of the residents will make it so much more possible and much more resource efficient. Imagine if everyone in your terrace ran an individual cable to their parking space, what a waste!",2,0.30185372,0.61428237,0.083863966,neutral
"I'm in a very similar situation, except I've got two neighbours between me and my garage. Just wondering if you've managed to move forward with this and what you've decided to do?",2,0.21842004,0.74792993,0.033650044,neutral
"Really the best bet you have is a nearby rapid charger or somewhere like a supermarket where you can leave it a while to charge. Look on zap map for things that are near your home, you might be surprised. Is there any chance of getting somewhere to charge at your place of work ?",2,0.028516544,0.48665124,0.48483226,neutral
"Councils in some areas are retrofitting streetlamps with an EV charger built in,among other concepts. You seem to suggest there's space at your place to create a driveway? Having home charging options would be the best bet,it's either that or hope for the best and wait and see what public options eventually become available ,which you don't want to rely on. Removeable batteries would be a thing for ebikes and scooters only,the battery pack of an EV is a fair chunk of the car's weight,absolutely not portable.I used a bit of my back garden to create a driveway..it's been great if you don't want to spend time sitting at a charger,or abandon the car until it's ready..I plug in when I get home,set a timer,and it's good to go next time.",2,0.08912481,0.7614033,0.14947185,neutral
"To be honest, I think it's crucial to have a driveway and a home charger for an EV to be practical and have some sense of cost effectiveness. It costs a lot more to charge at public chargers than at home (granted some are free but there aren't that many, nor are there any I've found that DC rapid charge for free). It's enough effort to plug your car in when you get home on the driveway when it's raining, having to plan in your life around where you can charge your vehicle on a day to day basis would be a non-starter for me.",2,0.24940498,0.6535834,0.09701165,neutral
"I drive a Renault Zoe with no home charger and it works fine most of the time. Some of the rapid chargers near me are in parks and shopping centres so I don't have to sit in the car while it's charging. I'm renting it through onto so public charging is free for me with a few networks. As other people have said it's worth checking what's available near you on zap map that's working. Also think about how many miles you drive in a week. If you do high mileage and live far from any rapid chargers then public charging might not be for you. If public chargers don't work in your area there's also a service called co-charger which allows people to rent out time on their home chargers. It's unlikely we'll see swappable batteries for cars any time in the next few years. It would likely require a standard battery form factor and massive investment in the systems around it. Chargers can be set up wherever there's a decent mains supply and a parking space, and only a small part of the car needs to be standardised.",2,0.038846903,0.5726841,0.388469,neutral
"EV batteries weigh many hundreds of kgs, so removable batteries “that you can charge inside the house” is an absolute non-starter. I agree with other comments that not having home charging will make EV ownership quite burdensome. You will have to spend an hour or so at a time charging the car, compared to the few minutes it takes to fill a petrol car. If you’re good at planning (so you’re not running out of charge on a regular basis) and are extremely keen on EVs then it is still worth it (EVs are awesome). But… it could wear thin pretty quick. Some people drive to work and have a charger at work… that would totally work, but what happens if you switch jobs?",1,0.46152842,0.4766963,0.06177525,neutral
"We charge ours on the street using an extension lead. We bought a rubber high visibility rubber band to put on top of the cable that we plug in our freshly installed outdoor 3 pin plug. It takes many hours to charge but we only need to do so every other week. No one has complained as yet. We also have permit resident parking so don't always get to park near our house, but as long as you charge before you are desperate it isn't a problem.",1,0.077631705,0.75570077,0.16666755,neutral
"Use a 13-amp 240V socket to charge. You'll get 10 miles per hour. If you sleep 8 hours a day that's 80 miles. If you drive more miles than 10 times the number of hours you're home, you've then got a problem !",4,0.23394012,0.67577755,0.090282276,neutral
As far as I know if you are paying the bill you have the right to change suppler or have the meter changed. Shelter are also pretty clear on the matter: > You don’t need your landlord’s permission to change energy suppliers https://sheltercymru.org.uk/get-advice/money-advice/energy-saving/switch-energy-supplier-and-tariff/ Have you factored in the EV Homecharge Scheme? That’s £350 off the cost of a charger and installation from the government. The cheaper alternative would be to get an electrician to install an external 13A socket and charge from that but it will be very slow (6-8 miles of range per hour charging).,1,0.038421616,0.84954345,0.112034895,neutral
"Shouldn't be a problem really.. It's definitely still not perfect finding places to charge that you can be sure will have space and work, but it's getting better all the time. The new charge point at Rugby services is great. There's a few apps you can use to find chargers like zap map and plugshare which have reviews and useful info like where to find the charger and what it'll cost (I prefer zap map). One thing to bear in mind is that quite a few electric cars don't have great range at motorway speeds. I drive a Renault Zoe ZE50 with an official range of >230 miles and I get closer to 150-180 miles per full charge (mostly on ~50mile motorway journeys).",2,0.06535647,0.3834795,0.551164,positive
"Long distance charging access is still evolving. Chargers are being installed on new and improving networks,New,faster tech is coming out,as are the cars to work with them. CCS charging seems to be a front runner,with even Tesla adding the capability. London to Edinburgh is easily doable in any CCS 200 miler car. You may need to access a couple of Networks,but a few accept bank cards for payment,rather than apps and RFID membership cards.",2,0.009013607,0.29549494,0.69549143,positive
"The same basic principle of EV purchasing remains unfortunately - if you can afford it, then Tesla is the way to go for the most effective long trips - their charging network, range, and cooling / pre-heating for fast charging solutions are - with some caveats (and more competition these days than there used to be) - is the best current option, especially considering it as a seamlessly integrated package (Tesla car, decent range, Tesla charger network, decent speeds and locations, no need to have a card / app etc., they just bill your account automatically. I'm greatly looking forward to the day when VW, Ford, Vauxhall, all have 300 mile real world ranges, with reliable and repeatable 150KW+ fast charging systems, and every motorway services and large retail centre has a couple of dozen rapid chargers. We're getting there, but too slowly for my liking. The balance you can make with your outlined scenario though, is - do I want to pay for a Tesla all year, when I only need it a couple of times for the long trip, where a shorter range vehicle would be somewhat less convenient, though still absolutely doable with some of the better non-Tesla options? You can even rent a Tesla for those couple of times a year, or just rent an ICE even.",1,0.029084438,0.2500221,0.72089344,positive
"Petrol stations are adding fast chargers so there is a pretty solid infrastructure building where you can always find one if a charger is in use by another electric car. I would have no qualms going to Edinburgh or London from Yorkshire with a claimed range of 200m plus. No idea about France or Europe though. You didn’t ask for advice on the ranges but personally regular trips to Scotland or London I would be looking at an eNiro or Kona, which claim to touch 300m and don’t have tiny boots like the electric Corsa or e Peugeot, which claim just over 200 miles a full charge. Or a Tesla as someone else suggested.",1,0.020278322,0.49756938,0.48215225,neutral
Ah man. I just got diesel one.,1,0.17052393,0.4724956,0.35698044,neutral
"Not in the market for one,but wondering how it will compare with the E-NV200..",1,0.18136309,0.7694204,0.049216487,neutral
"I don't think it's the range of the car that's the issue,but the charging en route,or at the destination. I'm in Northern Ireland, and had a gen 1 Zoe. It got me everywhere I needed to go no bother in the 4 years I had it,the longest trips I needed were travelling to Belfast/Airports and Dublin Airport,about 2 hours and 3 hours respectively .Belfast would have been one charge stop on the way and another while there for the return.I now have a Zoe40 which is more than capable of those trips (one way) non stop. I can charge near the airports or use airport valet parking that will charge the car for my return. On a 2+hour trip,I'd have more concern about bladder anxiety rather than range anxiety. The car can charge while it's parked or while you're having a break.200 miles range should be plenty..gen 1 cars with near 100 mile range were reckoned adequate for 90+% of people driving 30-60 miles a day (commuting)..If your job meant spending the day on motorways with deadlines to keep,longer range options (and chargers to suit them) are here or coming soon..EV's cost less to ""fill"" and service..It's made a growing number swap from petrol or diesel.",2,0.20121258,0.6578793,0.14090814,neutral
250 seems good. min 200 winter. (north wales),1,0.0064632175,0.3074839,0.6860528,positive
Has anyone had success with a Nissan Leaf?,2,0.015257356,0.7700755,0.21466713,neutral
"Generally,a Tesla destination charger is ""Tesla Only"" if it has a red Tesla logo sign up..a white sign is intended for any type 2 capable car.",1,0.052263107,0.84510297,0.102633856,neutral
Not sure if there are many options for that price/range. I think a Kia Niro seems like a good place to start.,1,0.070881225,0.7551293,0.1739895,neutral
The closest thing you're likely to get is mg5 but still nowhere near £16k,1,0.33307183,0.608989,0.057939183,neutral
All the active EV groups I’m aware of are on Facebook. There are local groups for most counties and I think my one does monthly Meetups. I’m sure others do as well.,1,0.006008811,0.8226044,0.1713867,neutral
"I've got an Ohme home pro charger (but otherwise, the same combo) and whenever charging, I have to log in to my Hyundai account on the Ohme app to get the Ohme app to recognise the battery level of the car before I charge. This happens every time I need to charge my car though. Quite annoying!",1,0.4263101,0.521393,0.05229691,neutral
"I have a PHEV and resent the poor fuel economy running on the petrol engine. The majority of my driving is within the battery range - commuting to and from work where I can charge at each end. Long drives deplete the battery and leave me on 40MPG for the rest of the motorway journey. If I start a journey with no charge I suffer low 20s! Long term MPG is 76MPG with high battery use. If I could have I'd have gone full BEV, but was limited to the company car list a couple of years ago. I'd not hesitate to buy one now, but I'd only consider the longer range vehicles. Home charging is essential. An EV tariff similarly.",1,0.5907198,0.36004663,0.049233507,negative
"Nothing on EON page about having to have a wall charger. I'm sure you will appreciate a wall box. Whilst you would get-a-way with the standard 3 pin granny charger, you wont be able to fully charge the car in one night (2.5kw x 7hr = 17.5kWh - less than half your battery capacity). I expect your qualified-electrician dad will warn of the load you'd be putting on house wiring by pulling 2.5kw continuously for 7 hours. I get 4.2 miles/kwh from my i3, so the granny charger adds about 8 miles range in an hour, the wallbox adds 30 miles range in an hour and its not unusual for me to come home from work and want to fill up the battery for an evening outing. Callboxes, especially Zappi, come with ""smart"" features, internet connectivity, reporting and so on which you may also find useful. If I had a family member as an electrician, it would be even more of a no-brainer to fit a fast home charger 7.5kW. Anyway, theres no hurry. See how you get on with the granny charger and when you get fed up of the slow charging call your dad!",2,0.44959667,0.48233166,0.06807163,neutral
"If its free for use, isn't always busy, and you go physically into work often enough, then I'd say it's fine. Also be aware of local chargers and their apps and prices to charge.",1,0.030559313,0.57261217,0.39682856,neutral
"I'd say no, home charging is what makes an EV convenient and cheap to run. Come home, plug in, top up on low cost off-peak electricity and start the day with full range. Having to plan your trips around where chargers will be available, and their respective costs will just make it a painful and expensive experience. Assume the work charge point will either be in high demand and not always offering a space in the future or paid for instead of free when doing any calculations.",1,0.4632521,0.48885563,0.047892254,neutral
"Having a home chargepoint is usually the cheapest means of charging an EV (especially if you have an E7 tariff). Having reliable and accessible free charging at work when you have no option at home is the next best thing..Just bear in mind,while it is free for now,things can change and you may end up having to pay..",1,0.017778315,0.24633132,0.7358903,positive
"I had a Corsa e on a short term lease through Elmo. Nice little car, really nippy and perfect for round the town.",1,0.003908496,0.036235455,0.95985603,positive
"I had a corsa e in an old job as a work car. It was good enough that Im looking to make the jump for my own car, which means also getting a charger installed. Bad points on the corsa e are the wheels are narrow so handling isnt great. It fine on motorways but windy A roads are not good. The lane assist also kept picking up road repairs (lines of tar) and thinking it was the white line so tried to throw me into ditches and I had to fight it. Easy to turn off though once I looked it up. Charging without a charger was a huge pain though. Maps showed several chargers near me but there were only 2 that worked within about 20 miles from home. Work paid for all charging on mine but charging point tariffs are very expensive. Im now looking at maybe going EV. Im buying used and down to probably BMW i3 as the fun one, or Merc Class B or Nissan Leaf gen 2 as a more sensible option. All fairly similar acceleration, so its down to driving experience. Anyone driven these and can compare?",1,0.14006805,0.42831373,0.43161827,positive
"We were in a similar situation. Family of 5, including 3 tall teenagers. Previously drove a 7seat SUV. Tesla model Y is the answer. Losing the extra 2seats is a bit of a pain, but honestly for the rare times we used the 3rd row… it’s not a deal breaker. Space / room in the back is just brilliant. The car is beyond amazing. On the face of it, the purchase price is horrific, but if you’re driving a lot of miles and you can charge at home - Intelligent Octopus is the way - then your fuel / tax savings will cover the cost of the car.",1,0.09768748,0.32524097,0.57707155,positive
"The short answer today is, no. Nissan leafs' are starting to get aftermarket battery replacements but they had an issue with not actively cooling their batteries so a bigger market opened for such things. However, there will be a lot of cars like this in the future with limited range so it's entirely possible these aftermarket services may exist, but I'd assume they won't be available when making purchasing decisions.",5,0.19279805,0.7490481,0.058153845,neutral
You won’t need to upgrade it so don’t worry,2,0.06467273,0.6382255,0.2971018,neutral
"We don't really know. Realistically you might be able to get it replaced in 15-20 years to breathe fresh life into the cars range. Or like in the case of some old Kia Soul EVs just replacing a couple of modules (costs a few hundred bucks, got most range back) EVs are designed with certain sized battery packs, weighing X kilos etc. So any ""upgrade"" or otherwise replacement has to play well with those specifications. But again we just don't know. No EV's of modern design have been around for so long, except leaf. And those early tesla owners from back in the day are probably rich enough to buy a new car every few years.",2,0.14298841,0.7602906,0.09672091,neutral
"The simple, but unpopular answer, is sell the leaf and buy an economical petrol car. If you can't charge at home and can't reliably find any other charger, there is no other solution :-(",0,0.8199644,0.1683828,0.011652832,negative
Your best bet is to contact the councils. If you need to I'm sure you could do a FOI request. Mine do not have anywhere near enough!,1,0.38166046,0.53782225,0.08051725,neutral
"It’s annoying but I understand, I’ve seen countess people nearly get hit by cars that have just pulled off but didn’t make a sound",1,0.8667599,0.1238497,0.009390429,negative
"I get that it's intended as a level of a warning for pedestrians,(Blind/Visually impaired people at the top of the list) but at the low car park speeds this is aimed at,Many modern ICE cars are ALSO very quiet..Situational awareness is the issue..Normally sighted people are being hit by cars on a daily basis..For the most part,In My Opinion,more noise isn't the answer..",1,0.4975881,0.46490812,0.03750369,negative
